Year,vsc,samp depth
1148,0.910883763703973,5
1149,0.971597950217417,5
1150,0.956378504263657,5
1151,0.865549096824425,5
1152,1.05212091860035,5
1153,0.874111321859134,5
1154,0.774788468466695,5
1155,0.840311513532126,5
1156,0.990589508362167,5
1157,1.1055570532631,5
1158,0.8199555983304,5
1159,1.07856272133461,5
1160,0.992318811002371,5
1161,1.14275534879792,5
1162,1.0412765478464,5
1163,0.88497243254211,5
1164,0.998351688056199,5
1165,0.905720949919112,5
1166,1.20842466298287,5
1167,1.09399255579169,5
1168,1.084398990773,5
1169,1.24357155846385,5
1170,1.02319926735066,5
1171,1.13194456893339,5
1172,1.03782898356392,5
1173,0.929763780236873,5
1174,0.865138916965848,5
1175,0.999029244993203,5
1176,0.987144328679374,5
1177,0.999339875608835,5
1178,1.13553055780222,5
1179,0.987433390832655,5
1180,0.949354626499614,5
1181,0.94433185883554,5
1182,0.871878997370026,5
1183,0.853419349092782,5
1184,0.870890607777029,5
1185,0.808297398058826,5
1186,0.930350306718606,5
1187,0.908593937095126,5
1188,1.16644344119301,5
1189,1.11903601497365,6
1190,1.28130855721607,6
1191,1.15266909948508,6
1192,1.0175734088793,6
1193,1.19081151287341,7
1194,0.682385506108013,7
1195,0.753582166278509,7
1196,0.916893192926559,7
1197,0.953906348339294,7
1198,1.27813059280036,7
1199,1.19524025729318,7
1200,1.25148637368064,7
1201,0.916757868612933,7
1202,1.09428932637825,7
1203,1.14289973947563,7
1204,1.00773787135062,7
1205,1.01241612171716,8
1206,1.12565260805568,8
1207,1.04609945194769,8
1208,0.890774848708174,8
1209,1.11187482688942,8
1210,0.869400720310396,8
1211,0.818028742546902,9
1212,0.922914467621524,9
1213,0.880096951770226,9
1214,1.02303985277765,9
1215,0.930729830454772,9
1216,0.832552389102474,9
1217,0.996769398017741,9
1218,0.918894588892305,10
1219,1.13270071036123,10
1220,1.06124013930748,10
1221,1.10834420536291,10
1222,1.18705406831482,10
1223,1.15392669578717,10
1224,1.02797901792338,10
1225,1.28159007014934,10
1226,1.2414054161544,10
1227,1.10083972516143,10
1228,1.13570144923109,10
1229,1.15276365137808,10
1230,0.985627830750993,10
1231,1.02821864241753,10
1232,0.730664486910878,10
1233,0.603604552939171,10
1234,0.610583258509072,10
1235,0.713553615082156,10
1236,0.713453699764963,10
1237,0.771572217361767,10
1238,0.742207728198192,10
1239,0.786780622203896,10
1240,0.793610121107097,10
1241,0.869717669764222,10
1242,0.730816027220594,10
1243,0.79183905237581,10
1244,1.05017712606176,10
1245,0.997868311146379,10
1246,0.98852988640332,10
1247,1.0079170051929,10
1248,1.06355207714939,10
1249,0.994390894319964,10
1250,0.804927686969886,10
1251,0.822603567857341,10
1252,0.947619017806594,10
1253,0.786230529578382,11
1254,0.897752999970634,11
1255,0.969616187752641,11
1256,0.835589489574053,12
1257,1.15495031302413,12
1258,1.17981573373273,12
1259,1.03950817978314,12
1260,0.921119184059414,12
1261,0.952792335961919,12
1262,1.1160032728844,12
1263,0.985655176154937,12
1264,0.897347631525889,12
1265,0.992868975354877,12
1266,0.99354501908594,12
1267,1.14447771004519,12
1268,1.15366672569756,12
1269,1.11286640600673,13
1270,1.02449814034255,13
1271,0.701673444885824,13
1272,0.9629448734471,13
1273,0.83884920833944,13
1274,1.09556240587863,13
1275,0.936297435674623,13
1276,1.04351377456352,13
1277,1.16508597479216,13
1278,0.839615166041902,13
1279,0.799020726130822,13
1280,0.923904470055522,13
1281,0.92981353712018,14
1282,0.903137724265485,14
1283,0.773183417351121,14
1284,0.845846393654877,14
1285,1.02148002409393,14
1286,0.965586308116397,14
1287,0.983303621949166,14
1288,0.892287816011589,14
1289,0.972534365524562,14
1290,1.0465507977406,14
1291,1.04556267388912,14
1292,0.775892419638535,14
1293,0.865390937217819,14
1294,0.905412862033441,14
1295,0.90847394762952,14
1296,1.01486606234936,14
1297,0.969681567252041,14
1298,1.03654193635722,14
1299,0.890460062459892,14
1300,0.752792244011305,14
1301,0.79573961639185,14
1302,1.28772318404665,14
1303,1.1843237064669,14
1304,1.26252149294786,14
1305,1.08511295338919,14
1306,1.00301747537822,14
1307,1.14080517725021,14
1308,1.14044540466926,14
1309,1.07584312796993,14
1310,1.07992599450523,14
1311,0.62091581202738,14
1312,0.804780489759018,14
1313,0.791625399651198,14
1314,0.919862671532795,14
1315,0.941991349899946,14
1316,0.996038527187075,14
1317,0.878908653070279,14
1318,0.768606629376392,14
1319,0.884553523116717,14
1320,1.00407524793394,14
1321,0.783634806891647,14
1322,0.898362462744586,14
1323,1.03826486521284,14
1324,0.994370604349871,14
1325,1.05085647343357,14
1326,1.12396255446633,15
1327,0.997475814161641,15
1328,0.984870712979711,15
1329,1.16369262360013,15
1330,1.06636151785764,15
1331,1.07034611317792,15
1332,0.755570862097356,15
1333,1.06514901282847,15
1334,1.10410689916707,15
1335,1.19892906764035,15
1336,1.10481454682586,15
1337,0.988710875350668,15
1338,0.998161982573738,15
1339,1.17602696284496,15
1340,1.19012494235484,15
1341,1.37036707609836,15
1342,1.39778383119215,15
1343,1.35249415164656,15
1344,1.26438800994014,15
1345,1.3099022059156,15
1346,0.923919273875908,15
1347,1.07294087336699,16
1348,1.15485031005911,16
1349,1.11439847472642,16
1350,1.02813225952755,16
1351,1.20191130382118,16
1352,1.02909620556165,16
1353,1.08428171822573,16
1354,1.06353247053812,16
1355,0.962394474254541,16
1356,0.747660633685007,16
1357,0.853089920041741,16
1358,1.08680330884157,16
1359,0.964039411453824,16
1360,0.890907441512051,17
1361,0.92159038528396,17
1362,0.968701833730726,17
1363,0.976561661105626,17
1364,1.08314037116289,17
1365,0.975383183442239,17
1366,0.9423604973733,17
1367,1.0476415973094,17
1368,1.12747519806797,17
1369,1.16829609939693,17
1370,1.17639586646207,17
1371,1.01899317306238,17
1372,1.08392211216821,17
1373,0.895639054034855,17
1374,0.843140819959634,17
1375,0.911235101475062,17
1376,0.847104567477593,17
1377,1.01357706172989,18
1378,0.836237682360793,18
1379,0.852870704948272,18
1380,0.868126174385123,18
1381,0.793799793797349,18
1382,0.907671758346963,18
1383,0.909696829976051,18
1384,0.94342913100294,18
1385,0.662544276926728,18
1386,0.685105958597584,18
1387,0.890943151355897,18
1388,0.829405636362967,18
1389,0.896486529792479,18
1390,0.933428399405702,18
1391,0.692679068235418,18
1392,0.844486197152283,18
1393,0.844112376836837,18
1394,0.822992103622754,18
1395,0.836906253249787,18
1396,0.452809714493678,18
1397,0.54635404042333,18
1398,0.584600800526888,18
1399,0.649683222300059,18
1400,0.849131099286522,18
1401,0.945429149849384,18
1402,0.933042523140832,18
1403,0.854045681182631,18
1404,0.894035113299045,19
1405,0.946152520670608,19
1406,1.00097368142815,19
1407,1.1019748744968,19
1408,0.960213609697347,19
1409,0.907434534272774,19
1410,1.03882955413066,19
1411,0.945244760814263,19
1412,0.797077132471479,19
1413,0.966505351544315,19
1414,0.89332492478014,19
1415,0.87257658185557,19
1416,0.896926651055261,19
1417,0.989146710837835,19
1418,0.966575160475295,19
1419,0.936110871815423,19
1420,0.98470501921654,19
1421,0.979043104844954,19
1422,1.24449919577005,19
1423,1.06548357418059,19
1424,0.870609311554244,19
1425,0.87821391138722,19
1426,1.08906919478509,19
1427,1.08652999705367,19
1428,1.05759538854724,19
1429,1.19929842908148,19
1430,1.11432546129882,19
1431,1.12117191249038,19
1432,1.27641398181032,19
1433,1.21973541438076,19
1434,1.06321667331714,19
1435,1.07032747826472,19
1436,0.886857526863096,19
1437,0.91066725141552,19
1438,0.867011501896153,19
1439,1.09744877118399,19
1440,1.07736463775142,19
1441,0.982577699747803,19
1442,1.04103113674167,19
1443,0.989105378398451,19
1444,1.01629555433319,19
1445,1.01084420388176,19
1446,0.932859935414561,19
1447,0.889189369311822,19
1448,1.03841310386381,19
1449,1.03269011129643,19
1450,1.07609764780899,19
1451,1.07378725823855,19
1452,0.973334811663079,19
1453,1.09406694361732,20
1454,0.867252358924531,20
1455,0.898725471358488,20
1456,0.649985509921963,20
1457,0.638760293604546,20
1458,0.872031705889003,20
1459,0.908326996529848,20
1460,1.04544498761876,20
1461,0.778885412405208,20
1462,0.932978981153243,20
1463,0.708160706464086,20
1464,0.910594393470522,20
1465,0.964928151510982,19
1466,0.94823983065878,19
1467,0.980944847921919,19
1468,0.269637952139882,19
1469,0.249585692135916,19
1470,0.378267056427989,18
1471,0.54246463605223,18
1472,0.811550884049119,18
1473,0.808166776827419,18
1474,1.03443257805849,18
1475,1.04864477605251,18
1476,1.20157388169573,18
1477,1.1064517684267,18
1478,1.2479426280209,18
1479,1.08216963027436,18
1480,0.789440350967592,18
1481,0.828450000286227,18
1482,0.921387213763832,18
1483,0.920888935644389,19
1484,0.874894836518509,19
1485,1.0189895331698,19
1486,1.13648142149418,19
1487,1.05076900891644,19
1488,1.06088333107583,19
1489,1.09558355220761,19
1490,1.14457200411614,19
1491,1.10483401919528,20
1492,1.08831423282312,20
1493,1.02971969878534,20
1494,0.807801985529902,20
1495,1.07111941427364,20
1496,1.00743127969013,20
1497,0.956010162107071,20
1498,0.91221957104034,20
1499,1.08216635600496,20
1500,0.926807715726311,20
1501,0.957129526525797,20
1502,0.945459928332536,20
1503,0.945198542542264,20
1504,1.0678765739421,20
1505,1.00878422175958,20
1506,1.04092347292995,20
1507,0.994654800745423,20
1508,1.02355420758722,20
1509,1.18967078197065,20
1510,0.739209080695849,20
1511,0.735071351282122,20
1512,1.01031996243268,20
1513,0.942742048937237,20
1514,0.997943016532383,20
1515,1.27384239679389,20
1516,0.831181356236092,20
1517,1.04643274266389,20
1518,0.992935667259811,20
1519,1.00428246742535,20
1520,0.90744923799112,20
1521,0.913526968697903,20
1522,1.11369646667943,20
1523,0.937847229430455,20
1524,1.31215648270684,20
1525,1.19265584405432,20
1526,1.13182615198477,20
1527,1.02015525779171,20
1528,1.19124313900312,20
1529,1.2092856836847,20
1530,1.21793346561801,20
1531,1.10206280172637,20
1532,1.31421655039186,20
1533,1.27310301588452,20
1534,1.332824435747,20
1535,1.22390496015624,20
1536,1.09621841845501,20
1537,1.22270139733009,20
1538,1.02985041625518,21
1539,1.11147482383177,21
1540,1.30785958421646,21
1541,1.44315943702192,21
1542,1.41039062296546,21
1543,1.29381938310885,21
1544,1.13010169790119,21
1545,1.23378691877194,21
1546,1.21380224080785,21
1547,1.36009964997327,21
1548,1.18690058993903,21
1549,1.15092781787485,21
1550,1.0957500074251,21
1551,1.24488343640937,21
1552,1.20649655476803,21
1553,1.15740363713877,21
1554,1.25744210011192,21
1555,0.759931520392925,21
1556,1.01935758021394,21
1557,1.23992296837579,21
1558,1.3327968533709,21
1559,1.06265436863484,21
1560,1.03721864753271,21
1561,1.15811981728332,21
1562,1.24229632583881,21
1563,1.15163058589389,22
1564,0.918540462406674,22
1565,0.82514001869788,21
1566,1.07022992506773,21
1567,1.23026092884869,21
1568,1.29775456910976,21
1569,1.28463222936559,21
1570,1.29555741623542,21
1571,0.96232149882236,21
1572,0.833470967390704,21
1573,0.858384895178858,21
1574,1.20443181222796,21
1575,1.22088732654425,21
1576,1.13545143923638,21
1577,1.14303560943249,21
1578,0.943328407854481,21
1579,1.0750884838941,21
1580,1.04770597763799,21
1581,1.29122601427146,21
1582,0.752869420108769,21
1583,0.826780328577825,21
1584,1.15010702082067,21
1585,1.13818519747281,21
1586,1.12070682582315,21
1587,1.13047678307584,21
1588,1.14324558231462,21
1589,1.03077354298687,21
1590,1.33968366168132,21
1591,1.24941117163933,21
1592,1.03328551583703,21
1593,1.19173331784892,21
1594,1.12720189183898,21
1595,1.16985653168687,21
1596,1.21369078815687,21
1597,0.981994151920298,21
1598,1.02124656860859,21
1599,0.604008658357337,21
1600,0.826736765084157,21
1601,0.973823701061162,21
1602,0.981469089895788,21
1603,1.01361796960916,21
1604,0.828961793893269,21
1605,0.837259855585414,21
1606,0.961021491541714,21
1607,0.849070688264385,22
1608,0.857072596212845,22
1609,1.31190901398699,22
1610,1.20447199553709,22
1611,1.03805645864045,22
1612,0.754077140519138,22
1613,1.11486015576217,22
1614,1.17154320832554,22
1615,1.1760262179991,22
1616,1.03244957584249,22
1617,1.10030129789977,22
1618,1.03152061838211,22
1619,1.07444557325939,22
1620,1.25430690047048,22
1621,1.1075818629404,22
1622,1.17424615091997,22
1623,1.25353200259775,22
1624,1.09162079090533,22
1625,1.11916696307198,22
1626,1.06359335727201,22
1627,0.895853433469486,22
1628,0.997463583407174,22
1629,0.852508664271497,22
1630,1.01364438410901,22
1631,1.02824336692275,22
1632,0.833822967966311,22
1633,1.12347435177242,22
1634,1.15098223769585,22
1635,0.986430192825861,22
1636,1.1626684163829,22
1637,1.17811352831126,22
